,Unnamed: 0,Unnamed: 1,Unnamed: 0.1,classifier,strategy,samp_technique,f1,roc_auc,g_mean,ranked-f1,ranked-gmean,ranked-roc,combined-rank(divided by 3),combined-rank(undivided)
14,SimpleOverSampling,0,DecisionTreeClassifier,DecisionTreeClassifier, DecisionTreeClassifier+RandomOverSampler ,RandomOverSampler,0.7273,0.867,0.8568,28.0,19.0,19.0,22.0,66.0
10,SMOTE,3,BalancedBaggingClassifier,BalancedBaggingClassifier, BalancedBaggingClassifier+SMOTE ,SMOTE,0.7129,0.8669,0.8568,25.0,19.0,18.0,20.666666666666668,62.0
45,SMOTE-Tomek,3,BalancedBaggingClassifier,BalancedBaggingClassifier, BalancedBaggingClassifier+SMOTETomek ,SMOTETomek,0.7129,0.8669,0.8568,25.0,19.0,18.0,20.666666666666668,62.0
28,SVM-Smote,0,DecisionTreeClassifier,DecisionTreeClassifier, DecisionTreeClassifier+SVMSMOTE ,SVMSMOTE,0.6923,0.8668,0.8567,23.0,16.0,16.0,18.333333333333332,55.0
29,SVM-Smote,1,RUSBoostClaassifier,RUSBoostClassifier, RUSBoostClassifier+SVMSMOTE ,SVMSMOTE,0.6923,0.8668,0.8567,23.0,16.0,16.0,18.333333333333332,55.0
18,SimpleOverSampling,4,RandomForestClassifier,RandomForestClassifier, RandomForestClassifier+RandomOverSampler ,RandomOverSampler,0.7816,0.8468,0.8329,41.0,7.0,7.0,18.333333333333332,55.0
15,SimpleOverSampling,1,RUSBoostClaassifier,RUSBoostClassifier, RUSBoostClassifier+RandomOverSampler ,RandomOverSampler,0.7216,0.8568,0.8449,27.0,9.0,9.0,15.0,45.0
8,SMOTE,1,RUSBoostClaassifier,RUSBoostClassifier, RUSBoostClassifier+SMOTE ,SMOTE,0.5496,0.8661,0.8561,16.0,14.0,14.0,14.666666666666666,44.0
43,SMOTE-Tomek,1,RUSBoostClaassifier,RUSBoostClassifier, RUSBoostClassifier+SMOTETomek ,SMOTETomek,0.5496,0.8661,0.8561,16.0,14.0,14.0,14.666666666666666,44.0
7,SMOTE,0,DecisionTreeClassifier,DecisionTreeClassifier, DecisionTreeClassifier+SMOTE ,SMOTE,0.5455,0.8661,0.8561,14.0,14.0,14.0,14.0,42.0
42,SMOTE-Tomek,0,DecisionTreeClassifier,DecisionTreeClassifier, DecisionTreeClassifier+SMOTETomek ,SMOTETomek,0.5455,0.8661,0.8561,14.0,14.0,14.0,14.0,42.0
0,No Sampling,0,DecisionTreeClassifier,DecisionTreeClassifier, DecisionTreeClassifier+no_sampling ,no_sampling,0.68,0.8465,0.8326,21.0,6.0,6.0,11.0,33.0
2,No Sampling,2,LogisiticRegression,LogisticRegression, LogisticRegression+no_sampling ,no_sampling,0.7209,0.8162,0.7953,26.0,3.0,3.0,10.666666666666666,32.0
36,SMOTE-EN,1,RUSBoostClaassifier,RUSBoostClassifier, RUSBoostClassifier+SMOTEENN ,SMOTEENN,0.4966,0.8658,0.8558,11.0,10.0,10.0,10.333333333333334,31.0
35,SMOTE-EN,0,DecisionTreeClassifier,DecisionTreeClassifier, DecisionTreeClassifier+SMOTEENN ,SMOTEENN,0.5072,0.8557,0.8439,12.0,8.0,8.0,9.333333333333334,28.0
22,BorderlineSmote,1,RUSBoostClaassifier,RUSBoostClassifier, RUSBoostClassifier+BorderlineSMOTE ,BorderlineSMOTE,0.6126,0.8462,0.8324,18.0,5.0,5.0,9.333333333333334,28.0
24,BorderlineSmote,3,BalancedBaggingClassifier,BalancedBaggingClassifier, BalancedBaggingClassifier+BorderlineSMOTE ,BorderlineSMOTE,0.6598,0.8261,0.8078,19.0,4.0,4.0,9.0,27.0
21,BorderlineSmote,0,DecisionTreeClassifier,DecisionTreeClassifier, DecisionTreeClassifier+BorderlineSMOTE ,BorderlineSMOTE,0.5688,0.8156,0.7948,17.0,2.0,2.0,7.0,21.0
1,No Sampling,1,RUSBoostClaassifier,RUSBoostClassifier, RUSBoostClassifier+no_sampling ,no_sampling,0.1667,0.6004,0.451,6.0,1.0,1.0,2.6666666666666665,8.0
