,classifier,strategy,samp_technique,f1,roc_auc,g_mean,accuracy,precision,recall
DecisionTreeClassifier,DecisionTreeClassifier, DecisionTreeClassifier+no_sampling ,no_sampling,0.125,0.5499,0.3162,0.9992,0.1667,0.1
RUSBoostClaassifier,RUSBoostClassifier, RUSBoostClassifier+no_sampling ,no_sampling,0.0102,0.6794,0.6193,0.9584,0.0052,0.4
LogisiticRegression,LogisticRegression, LogisticRegression+no_sampling ,no_sampling,0.0,0.5,0.0,0.9995,0.0,0.0
BalancedBaggingClassifier,BalancedBaggingClassifier, BalancedBaggingClassifier+no_sampling ,no_sampling,0.0055,0.6612,0.6074,0.922,0.0028,0.4
RandomForestClassifier,RandomForestClassifier, RandomForestClassifier+no_sampling ,no_sampling,0.0,0.5,0.0,0.9995,0.0,0.0
EasyEnsembleClassifier,EasyEnsembleClassifier, EasyEnsembleClassifier+no_sampling ,no_sampling,0.0051,0.6974,0.6689,0.8945,0.0025,0.5
BalancedRandomForestClassifier,BalancedRandomForestClassifier, BalancedRandomForestClassifier+no_sampling ,no_sampling,0.006,0.7466,0.7321,0.893,0.003,0.6
