,,,classifier,strategy,samp_technique,f1,roc_auc,g_mean,ranked-f1,ranked-roc,ranked-gmean,combined-rank(divided by 3),combined-rank(undivided)
pipe2,SMOTE,4,RandomForestClassifier, RandomForestClassifier+SMOTE ,SMOTE,0.8454,0.9182,0.9146,112.0,97.0,100.0,103.0,309.0
pipe2,BorderlineSmote,3,BalancedBaggingClassifier, BalancedBaggingClassifier+BorderlineSMOTE ,BorderlineSMOTE,0.8367,0.9182,0.9146,108.0,97.0,100.0,101.66666666666667,305.0
pipe2,RandOverSampling,3,BalancedBaggingClassifier, BalancedBaggingClassifier+RandomOverSampler ,RandomOverSampler,0.8367,0.9182,0.9146,108.0,97.0,100.0,101.66666666666667,305.0
pipe2,SVM-Smote,2,LogisticRegression, LogisticRegression+SVMSMOTE ,SVMSMOTE,0.2004,0.9529,0.9523,17.0,144.0,144.0,101.66666666666667,305.0
pipe4,No_sampling,6,BalancedRandomForestClassifier, BalancedRandomForestClassifier+no_sampling ,no_sampling,0.3061,0.9486,0.9481,23.0,138.0,142.0,101.0,303.0
pipe4,BorderlineSmote,4,RandomForestClassifier, RandomForestClassifier+BorderlineSMOTE ,BorderlineSMOTE,0.8989,0.9082,0.9035,137.0,81.0,81.0,99.66666666666667,299.0
pipe4,No_sampling,5,EasyEnsembleClassifier, EasyEnsembleClassifier+no_sampling ,no_sampling,0.299,0.9483,0.9478,22.0,136.0,140.0,99.33333333333333,298.0
pipe4,No_sampling,3,BalancedBaggingClassifier, BalancedBaggingClassifier+no_sampling ,no_sampling,0.2961,0.9481,0.9476,21.0,135.0,139.0,98.33333333333333,295.0
pipe2,No_sampling,3,BalancedBaggingClassifier, BalancedBaggingClassifier+no_sampling ,no_sampling,0.1364,0.9492,0.9487,8.0,143.0,143.0,98.0,294.0
pipe4,BorderlineSmote,6,BalancedRandomForestClassifier, BalancedRandomForestClassifier+BorderlineSMOTE ,BorderlineSMOTE,0.8889,0.9081,0.9035,133.0,80.0,81.0,98.0,294.0
pipe2,SMOTE-EN,3,BalancedBaggingClassifier, BalancedBaggingClassifier+SMOTEENN ,SMOTEENN,0.7107,0.9383,0.9363,57.0,116.0,116.0,96.33333333333333,289.0
pipe2,RandOverSampling,4,RandomForestClassifier, RandomForestClassifier+RandomOverSampler ,RandomOverSampler,0.8791,0.9081,0.9035,127.0,80.0,81.0,96.0,288.0
pipe2,No_sampling,1,RUSBoostClassifier, RUSBoostClassifier+no_sampling ,no_sampling,0.3321,0.946,0.9447,29.0,129.0,129.0,95.66666666666667,287.0
pipe2,No_sampling,6,BalancedRandomForestClassifier, BalancedRandomForestClassifier+no_sampling ,no_sampling,0.1295,0.9486,0.9481,6.0,138.0,142.0,95.33333333333333,286.0
pipe2,SMOTE,3,BalancedBaggingClassifier, BalancedBaggingClassifier+SMOTE ,SMOTE,0.7568,0.9282,0.9255,71.0,107.0,107.0,95.0,285.0
pipe2,SMOTE-Tomek,3,BalancedBaggingClassifier, BalancedBaggingClassifier+SMOTETomek ,SMOTETomek,0.7568,0.9282,0.9255,71.0,107.0,107.0,95.0,285.0
pipe4,SMOTE-EN,2,LogisticRegression, LogisticRegression+SMOTEENN ,SMOTEENN,0.2761,0.9469,0.9465,20.0,131.0,131.0,94.0,282.0
pipe4,SVM-Smote,0,DecisionTreeClassifier, DecisionTreeClassifier+SVMSMOTE ,SVMSMOTE,0.82,0.9178,0.9142,100.0,89.0,89.0,92.66666666666667,278.0
pipe4,BorderlineSmote,2,LogisticRegression, LogisticRegression+BorderlineSMOTE ,BorderlineSMOTE,0.3132,0.9391,0.9382,24.0,126.0,126.0,92.0,276.0
pipe2,RandOverSampling,2,LogisticRegression, LogisticRegression+RandomOverSampler ,RandomOverSampler,0.1216,0.9478,0.9474,5.0,134.0,136.0,91.66666666666667,275.0
pipe2,RandOverSampling,6,BalancedRandomForestClassifier, BalancedRandomForestClassifier+RandomOverSampler ,RandomOverSampler,0.8511,0.9081,0.9034,116.0,80.0,78.0,91.33333333333333,274.0
pipe2,BorderlineSmote,4,RandomForestClassifier, RandomForestClassifier+BorderlineSMOTE ,BorderlineSMOTE,0.8511,0.9081,0.9034,116.0,80.0,78.0,91.33333333333333,274.0
pipe2,SMOTE-Tomek,2,LogisticRegression, LogisticRegression+SMOTETomek ,SMOTETomek,0.11599999999999999,0.9472,0.9468,4.0,133.0,133.0,90.0,270.0
pipe2,BorderlineSmote,2,LogisticRegression, LogisticRegression+BorderlineSMOTE ,BorderlineSMOTE,0.1973,0.9428,0.9417,16.0,127.0,127.0,90.0,270.0
pipe2,SMOTE,2,LogisticRegression, LogisticRegression+SMOTE ,SMOTE,0.11599999999999999,0.9472,0.9468,4.0,133.0,133.0,90.0,270.0
pipe4,SMOTE-EN,3,BalancedBaggingClassifier, BalancedBaggingClassifier+SMOTEENN ,SMOTEENN,0.7885,0.9176,0.9141,90.0,88.0,88.0,88.66666666666667,266.0
pipe2,SMOTE-EN,1,RUSBoostClassifier, RUSBoostClassifier+SMOTEENN ,SMOTEENN,0.5443,0.9376,0.9357,36.0,115.0,115.0,88.66666666666667,266.0
pipe4,RandOverSampling,4,RandomForestClassifier, RandomForestClassifier+RandomOverSampler ,RandomOverSampler,0.8864,0.898,0.8921,130.0,68.0,64.0,87.33333333333333,262.0
pipe4,RandOverSampling,5,EasyEnsembleClassifier, EasyEnsembleClassifier+RandomOverSampler ,RandomOverSampler,0.8864,0.898,0.8921,130.0,68.0,64.0,87.33333333333333,262.0
pipe4,RandOverSampling,6,BalancedRandomForestClassifier, BalancedRandomForestClassifier+RandomOverSampler ,RandomOverSampler,0.8864,0.898,0.8921,130.0,68.0,64.0,87.33333333333333,262.0
pipe2,SMOTE-EN,2,LogisticRegression, LogisticRegression+SMOTEENN ,SMOTEENN,0.1128,0.9468,0.9464,2.0,130.0,130.0,87.33333333333333,262.0
pipe2,SMOTE-EN,0,DecisionTreeClassifier, DecisionTreeClassifier+SMOTEENN ,SMOTEENN,0.4971,0.9374,0.9354,31.0,114.0,114.0,86.33333333333333,259.0
pipe4,RandOverSampling,0,DecisionTreeClassifier, DecisionTreeClassifier+RandomOverSampler ,RandomOverSampler,0.8421,0.9078,0.9032,110.0,73.0,74.0,85.66666666666667,257.0
pipe2,No_sampling,5,EasyEnsembleClassifier, EasyEnsembleClassifier+no_sampling ,no_sampling,0.0976,0.9446,0.9443,1.0,128.0,128.0,85.66666666666667,257.0
pipe4,RandOverSampling,3,BalancedBaggingClassifier, BalancedBaggingClassifier+RandomOverSampler ,RandomOverSampler,0.8667,0.8979,0.892,125.0,65.0,60.0,83.33333333333333,250.0
pipe2,SVM-Smote,1,RUSBoostClassifier, RUSBoostClassifier+SVMSMOTE ,SVMSMOTE,0.7523,0.9179999999999999,0.9144,67.0,91.0,91.0,83.0,249.0
pipe2,RandOverSampling,1,RUSBoostClassifier, RUSBoostClassifier+RandomOverSampler ,RandomOverSampler,0.7921,0.9079999999999999,0.9033,95.0,76.0,76.0,82.33333333333333,247.0
pipe2,RandOverSampling,0,DecisionTreeClassifier, DecisionTreeClassifier+RandomOverSampler ,RandomOverSampler,0.7921,0.9079999999999999,0.9033,95.0,76.0,76.0,82.33333333333333,247.0
