,,classifier,strategy,samp_technique,f1,roc_auc,g_mean,accuracy,precision,recall
No Sampling,DecisionTreeClassifier,DecisionTreeClassifier, DecisionTreeClassifier+no_sampling ,no_sampling,0.8485,0.9266,0.924,0.9927,0.84,0.8571
No Sampling,RUSBoostClaassifier,RUSBoostClassifier, RUSBoostClassifier+no_sampling ,no_sampling,0.7788,0.944,0.9429,0.9878,0.6875,0.898
No Sampling,LogisiticRegression,LogisticRegression, LogisticRegression+no_sampling ,no_sampling,0.9149,0.9383,0.9363,0.9961,0.9556,0.8776
No Sampling,BalancedBaggingClassifier,BalancedBaggingClassifier, BalancedBaggingClassifier+no_sampling ,no_sampling,0.6618,0.9487,0.9482,0.9776,0.5172,0.9184
No Sampling,RandomForestClassifier,RandomForestClassifier, RandomForestClassifier+no_sampling ,no_sampling,0.9032,0.9281,0.9254,0.9956,0.9545,0.8571
No Sampling,EasyEnsembleClassifier,EasyEnsembleClassifier, EasyEnsembleClassifier+no_sampling ,no_sampling,0.6443,0.9768,0.9768,0.9741,0.48,0.9796
No Sampling,BalancedRandomForestClassifier,BalancedRandomForestClassifier, BalancedRandomForestClassifier+no_sampling ,no_sampling,0.6713,0.9783,0.9783,0.9771,0.5106,0.9796
SMOTE,DecisionTreeClassifier,DecisionTreeClassifier, DecisionTreeClassifier+SMOTE ,SMOTE,0.656,0.9096,0.9067,0.979,0.5395,0.8367
SMOTE,RUSBoostClaassifier,RUSBoostClassifier, RUSBoostClassifier+SMOTE ,SMOTE,0.6721,0.9104,0.9074,0.9805,0.5616,0.8367
SMOTE,LogisiticRegression,LogisticRegression, LogisticRegression+SMOTE ,SMOTE,0.6309,0.9663,0.9663,0.9732,0.47,0.9592
SMOTE,BalancedBaggingClassifier,BalancedBaggingClassifier, BalancedBaggingClassifier+SMOTE ,SMOTE,0.8958,0.9378,0.9358,0.9951,0.9149,0.8776
SMOTE,RandomForestClassifier,RandomForestClassifier, RandomForestClassifier+SMOTE ,SMOTE,0.9247,0.9385,0.9365,0.9966,0.9773,0.8776
SMOTE,EasyEnsembleClassifier,EasyEnsembleClassifier, EasyEnsembleClassifier+SMOTE ,SMOTE,0.9362,0.9487,0.9474,0.9971,0.9778,0.898
SMOTE,BalancedRandomForestClassifier,BalancedRandomForestClassifier, BalancedRandomForestClassifier+SMOTE ,SMOTE,0.9362,0.9487,0.9474,0.9971,0.9778,0.898
SimpleOverSampling,DecisionTreeClassifier,DecisionTreeClassifier, DecisionTreeClassifier+RandomOverSampler ,RandomOverSampler,0.8602,0.9072,0.9026,0.9937,0.9091,0.8163
SimpleOverSampling,RUSBoostClaassifier,RUSBoostClassifier, RUSBoostClassifier+RandomOverSampler ,RandomOverSampler,0.8602,0.9072,0.9026,0.9937,0.9091,0.8163
