,classifier,strategy,samp_technique,f1,roc_auc,g_mean,accuracy,precision,recall
DecisionTreeClassifier,DecisionTreeClassifier, DecisionTreeClassifier+no_sampling ,no_sampling,0.5455,0.7306,0.6793,0.9989,0.6667,0.4615
RUSBoostClaassifier,RUSBoostClassifier, RUSBoostClassifier+no_sampling ,no_sampling,0.0889,0.7246,0.6751,0.9868,0.0492,0.4615
LogisiticRegression,LogisticRegression, LogisticRegression+no_sampling ,no_sampling,0.5556,0.6923,0.6202,0.9991,1.0,0.3846
BalancedBaggingClassifier,BalancedBaggingClassifier, BalancedBaggingClassifier+no_sampling ,no_sampling,0.0408,0.8955,0.8941,0.9447,0.0209,0.8462
RandomForestClassifier,RandomForestClassifier, RandomForestClassifier+no_sampling ,no_sampling,0.4706,0.6538,0.5547,0.999,1.0,0.3077
EasyEnsembleClassifier,EasyEnsembleClassifier, EasyEnsembleClassifier+no_sampling ,no_sampling,0.0299,0.9199,0.9199,0.9167,0.0152,0.9231
BalancedRandomForestClassifier,BalancedRandomForestClassifier, BalancedRandomForestClassifier+no_sampling ,no_sampling,0.0293,0.9191,0.919,0.915,0.0149,0.9231
