,,classifier,strategy,samp_technique,f1,roc_auc,g_mean,accuracy,precision,recall
*SVM-Smote*,BalancedRandomForestClassifier,BalancedRandomForestClassifier, BalancedRandomForestClassifier+SVMSMOTE ,SVMSMOTE,0.8125,0.8421,0.8272,0.997,1.0,0.6842
*SMOTE-EN*,DecisionTreeClassifier,DecisionTreeClassifier, DecisionTreeClassifier+SMOTEENN ,SMOTEENN,0.3014,0.7786,0.7526,0.9744,0.2037,0.5789
*SMOTE-EN*,RUSBoostClaassifier,RUSBoostClassifier, RUSBoostClassifier+SMOTEENN ,SMOTEENN,0.6667,0.8661,0.8564,0.993,0.6087,0.7368
*SMOTE-EN*,LogisiticRegression,LogisticRegression, LogisticRegression+SMOTEENN ,SMOTEENN,0.1692,0.9056,0.9056,0.9163,0.0934,0.8947
*SMOTE-EN*,BalancedBaggingClassifier,BalancedBaggingClassifier, BalancedBaggingClassifier+SMOTEENN ,SMOTEENN,0.5,0.837,0.823,0.987,0.3939,0.6842
*SMOTE-EN*,RandomForestClassifier,RandomForestClassifier, RandomForestClassifier+SMOTEENN ,SMOTEENN,0.8,0.8679,0.858,0.9965,0.875,0.7368
*SMOTE-EN*,EasyEnsembleClassifier,EasyEnsembleClassifier, EasyEnsembleClassifier+SMOTEENN ,SMOTEENN,0.8,0.8679,0.858,0.9965,0.875,0.7368
*SMOTE-EN*,BalancedRandomForestClassifier,BalancedRandomForestClassifier, BalancedRandomForestClassifier+SMOTEENN ,SMOTEENN,0.8,0.8679,0.858,0.9965,0.875,0.7368
*SMOTE-Tomek*,DecisionTreeClassifier,DecisionTreeClassifier, DecisionTreeClassifier+SMOTETomek ,SMOTETomek,0.656,0.9096,0.9067,0.979,0.5395,0.8367
*SMOTE-Tomek*,RUSBoostClaassifier,RUSBoostClassifier, RUSBoostClassifier+SMOTETomek ,SMOTETomek,0.6721,0.9104,0.9074,0.9805,0.5616,0.8367
*SMOTE-Tomek*,LogisiticRegression,LogisticRegression, LogisticRegression+SMOTETomek ,SMOTETomek,0.6309,0.9663,0.9663,0.9732,0.47,0.9592
*SMOTE-Tomek*,BalancedBaggingClassifier,BalancedBaggingClassifier, BalancedBaggingClassifier+SMOTETomek ,SMOTETomek,0.8958,0.9378,0.9358,0.9951,0.9149,0.8776
*SMOTE-Tomek*,RandomForestClassifier,RandomForestClassifier, RandomForestClassifier+SMOTETomek ,SMOTETomek,0.9247,0.9385,0.9365,0.9966,0.9773,0.8776
*SMOTE-Tomek*,EasyEnsembleClassifier,EasyEnsembleClassifier, EasyEnsembleClassifier+SMOTETomek ,SMOTETomek,0.9362,0.9487,0.9474,0.9971,0.9778,0.898
*SMOTE-Tomek*,BalancedRandomForestClassifier,BalancedRandomForestClassifier, BalancedRandomForestClassifier+SMOTETomek ,SMOTETomek,0.9362,0.9487,0.9474,0.9971,0.9778,0.898
