,classifier,strategy,samp_technique,f1,roc_auc,g_mean,accuracy,precision,recall
DecisionTreeClassifier,DecisionTreeClassifier, DecisionTreeClassifier+RandomOverSampler ,RandomOverSampler,0.4545,0.6921,0.62,0.9987,0.5556,0.3846
RUSBoostClaassifier,RUSBoostClassifier, RUSBoostClassifier+RandomOverSampler ,RandomOverSampler,0.4545,0.6921,0.62,0.9987,0.5556,0.3846
LogisiticRegression,LogisticRegression, LogisticRegression+RandomOverSampler ,RandomOverSampler,0.0316,0.9222,0.9222,0.9213,0.0161,0.9231
BalancedBaggingClassifier,BalancedBaggingClassifier, BalancedBaggingClassifier+RandomOverSampler ,RandomOverSampler,0.4762,0.6921,0.6201,0.9988,0.625,0.3846
RandomForestClassifier,RandomForestClassifier, RandomForestClassifier+RandomOverSampler ,RandomOverSampler,0.5556,0.6923,0.6202,0.9991,1.0,0.3846
EasyEnsembleClassifier,EasyEnsembleClassifier, EasyEnsembleClassifier+RandomOverSampler ,RandomOverSampler,0.4706,0.6538,0.5547,0.999,1.0,0.3077
BalancedRandomForestClassifier,BalancedRandomForestClassifier, BalancedRandomForestClassifier+RandomOverSampler ,RandomOverSampler,0.5556,0.6923,0.6202,0.9991,1.0,0.3846
