,Unnamed: 0,classifier,strategy,samp_technique,f1,roc_auc,g_mean,ranked-f1,ranked-roc,ranked-gmean,combined-rank(divided by 3),combined-rank(undivided)
18,RandomForestClassifier,RandomForestClassifier, RandomForestClassifier+RandomOverSampler ,RandomOverSampler,0.8864,0.898,0.8921,34.0,15.0,15.0,21.333333333333332,64.0
20,BalancedRandomForestClassifier,BalancedRandomForestClassifier, BalancedRandomForestClassifier+RandomOverSampler ,RandomOverSampler,0.8864,0.898,0.8921,34.0,15.0,15.0,21.333333333333332,64.0
19,EasyEnsembleClassifier,EasyEnsembleClassifier, EasyEnsembleClassifier+RandomOverSampler ,RandomOverSampler,0.8864,0.898,0.8921,34.0,15.0,15.0,21.333333333333332,64.0
7,DecisionTreeClassifier,DecisionTreeClassifier, DecisionTreeClassifier+SMOTE ,SMOTE,0.5985,0.9159,0.9125,15.0,23.0,23.0,20.333333333333332,61.0
42,DecisionTreeClassifier,DecisionTreeClassifier, DecisionTreeClassifier+SMOTETomek ,SMOTETomek,0.5985,0.9159,0.9125,15.0,23.0,23.0,20.333333333333332,61.0
15,RUSBoostClaassifier,RUSBoostClassifier, RUSBoostClassifier+RandomOverSampler ,RandomOverSampler,0.8163,0.9077,0.9031,23.0,18.0,18.0,19.666666666666668,59.0
17,BalancedBaggingClassifier,BalancedBaggingClassifier, BalancedBaggingClassifier+RandomOverSampler ,RandomOverSampler,0.8667,0.8979,0.892,30.0,12.0,12.0,18.0,54.0
0,DecisionTreeClassifier,DecisionTreeClassifier, DecisionTreeClassifier+no_sampling ,no_sampling,0.8298,0.8976,0.8919,26.0,11.0,11.0,16.0,48.0
43,RUSBoostClaassifier,RUSBoostClassifier, RUSBoostClassifier+SMOTETomek ,SMOTETomek,0.5926,0.9057,0.9013,13.0,17.0,17.0,15.666666666666666,47.0
8,RUSBoostClaassifier,RUSBoostClassifier, RUSBoostClassifier+SMOTE ,SMOTE,0.5926,0.9057,0.9013,13.0,17.0,17.0,15.666666666666666,47.0
4,RandomForestClassifier,RandomForestClassifier, RandomForestClassifier+no_sampling ,no_sampling,0.8736,0.8878,0.8806,31.0,5.0,5.0,13.666666666666666,41.0
29,RUSBoostClaassifier,RUSBoostClassifier, RUSBoostClassifier+SVMSMOTE ,SVMSMOTE,0.7879,0.8974,0.8916,20.0,10.0,10.0,13.333333333333334,40.0
45,BalancedBaggingClassifier,BalancedBaggingClassifier, BalancedBaggingClassifier+SMOTETomek ,SMOTETomek,0.78,0.8973,0.8916,19.0,9.0,10.0,12.666666666666666,38.0
10,BalancedBaggingClassifier,BalancedBaggingClassifier, BalancedBaggingClassifier+SMOTE ,SMOTE,0.78,0.8973,0.8916,19.0,9.0,10.0,12.666666666666666,38.0
36,RUSBoostClaassifier,RUSBoostClassifier, RUSBoostClassifier+SMOTEENN ,SMOTEENN,0.7573,0.8972,0.8914,17.0,7.0,7.0,10.333333333333334,31.0
21,DecisionTreeClassifier,DecisionTreeClassifier, DecisionTreeClassifier+BorderlineSMOTE ,BorderlineSMOTE,0.7917,0.8873,0.8802,22.0,4.0,4.0,10.0,30.0
2,LogisiticRegression,LogisticRegression, LogisticRegression+no_sampling ,no_sampling,0.8276,0.8672,0.8571,25.0,1.0,1.0,9.0,27.0
35,DecisionTreeClassifier,DecisionTreeClassifier, DecisionTreeClassifier+SMOTEENN ,SMOTEENN,0.5417,0.895,0.8895,10.0,6.0,6.0,7.333333333333333,22.0
22,RUSBoostClaassifier,RUSBoostClassifier, RUSBoostClassifier+BorderlineSMOTE ,BorderlineSMOTE,0.7525,0.887,0.88,16.0,3.0,3.0,7.333333333333333,22.0
1,RUSBoostClaassifier,RUSBoostClassifier, RUSBoostClassifier+no_sampling ,no_sampling,0.5507,0.8851,0.8783,11.0,2.0,2.0,5.0,15.0
