,classifier,strategy,samp_technique,f1,roc_auc,g_mean,accuracy,precision,recall
DecisionTreeClassifier,DecisionTreeClassifier, DecisionTreeClassifier+SVMSMOTE ,SVMSMOTE,0.82,0.9178,0.9142,0.9981,0.8039,0.8367
RUSBoostClaassifier,RUSBoostClassifier, RUSBoostClassifier+SVMSMOTE ,SVMSMOTE,0.7879,0.8974,0.8916,0.9978,0.78,0.7959
LogisiticRegression,LogisticRegression, LogisticRegression+SVMSMOTE ,SVMSMOTE,0.3206,0.9195,0.9174,0.9813,0.1972,0.8571
BalancedBaggingClassifier,BalancedBaggingClassifier, BalancedBaggingClassifier+SVMSMOTE ,SVMSMOTE,0.8632,0.9181,0.9145,0.9986,0.8913,0.8367
RandomForestClassifier,RandomForestClassifier, RandomForestClassifier+SVMSMOTE ,SVMSMOTE,0.9231,0.9286,0.9258,0.9993,1.0,0.8571
EasyEnsembleClassifier,EasyEnsembleClassifier, EasyEnsembleClassifier+SVMSMOTE ,SVMSMOTE,0.9011,0.9183,0.9147,0.9991,0.9762,0.8367
BalancedRandomForestClassifier,BalancedRandomForestClassifier, BalancedRandomForestClassifier+SVMSMOTE ,SVMSMOTE,0.913,0.9285,0.9258,0.9992,0.9767,0.8571
